"drug_id";"drug_id_EKP";"direct";"Disease.or.Syndrome";"Pathologic.Function";"Finding";"Cell";"Cell.Component";"Organism.Function";"Body.Part..Organ..or.Organ.Component";"Sign.or.Symptom";"Mental.or.Behavioral.Dysfunction";"Chemical.Viewed.Structurally";"Organic.Chemical";"Pharmacologic.Substance";"Neuroreactive.Substance.or.Biogenic.Amine";"Gene.or.Genome";"Cell.Function";"Amino.Acid..Peptide..or.Protein";"Lipid";"Biologically.Active.Substance";"Receptor";"Inorganic.Chemical";"Hormone";"Patient.or.Disabled.Group";"Age.Group";"Human";"Population.Group";"Chemical.Viewed.Functionally";"Therapeutic.or.Preventive.Procedure";"Animal";"Mammal";"Professional.or.Occupational.Group";"Body.Substance";"Steroid";"Mental.Process";"Species";"Group";"Health.Care.Activity";"Laboratory.Procedure";"Diagnostic.Procedure";"Occupational.Activity";"Molecular.Function";"Genetic.Function";"Organism.Attribute";"Organ.or.Tissue.Function";"Antibiotic";"Enzyme";"Nucleic.Acid..Nucleoside..or.Nucleotide";"Immunologic.Factor";"Indicator..Reagent..or.Diagnostic.Aid";"Cell.or.Molecular.Dysfunction";"Physiologic.Function";"Injury.or.Poisoning";"Qualitative.Concept";"Laboratory.or.Test.Result";"Medical.Device";"Biologic.Function";"Congenital.Abnormality";"Neoplastic.Process";"Vitamin";"Nucleotide.Sequence";"Body.System";"Tissue";"Acquired.Abnormality";"Natural.Phenomenon.or.Process";"Activity";"Carbohydrate";"Anatomical.Abnormality";"Hazardous.or.Poisonous.Substance";"Functional.Concept";"Experimental.Model.of.Disease";"Element..Ion..or.Isotope";"Clinical.Attribute";"Bacterium";"Family.Group";"Plant";"Organism";"Fungus";"Food";"Individual.Behavior";"Eicosanoid";"Biomedical.or.Dental.Material";"Clinical.Drug";"Substance";"Temporal.Concept";"Chemical";"Organophosphorus.Compound";"Quantitative.Concept";"Research.Activity";"Manufactured.Object";"Molecular.Biology.Research.Technique";"Phenomenon.or.Process";"Body.Location.or.Region";"Embryonic.Structure";"Environmental.Effect.of.Humans";"Virus";"Idea.or.Concept";"Research.Device";"Molecular.Sequence";"Eukaryote";"Intellectual.Product";"Vertebrate";"Archaeon";"Fish";"Human.caused.Phenomenon.or.Process";"Social.Behavior";"Spatial.Concept";"Daily.or.Recreational.Activity";"Fully.Formed.Anatomical.Structure";"Classification";"Bird";"Body.Space.or.Junction";"Amphibian";"Educational.Activity";"Biomedical.Occupation.or.Discipline";"Reptile";"Anatomical.Structure";"Occupation.or.Discipline";"Amino.Acid.Sequence";"Disorders";"Anatomy";"Physiology";"Chemicals...Drugs";"Genes...Molecular.Sequences";"Living.Beings";"Procedures";"Activities...Behaviors";"Concepts...Ideas";"Phenomena";"Devices";"Objects";"Occupations";"disease_id";"disease_id_EKP";"Status"
"DB00005";"2075670";"TRUE";110;29;96;3;2;1;7;16;1;24;4;40;1;9;2;48;2;18;4;2;4;1;6;2;10;2;21;0;6;6;1;5;0;1;1;10;2;2;1;2;0;3;5;0;3;1;29;0;2;1;3;1;0;1;0;3;7;1;1;0;1;1;1;0;3;0;0;1;0;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;12;12;84;10;34;33;1;3;1;1;0;0;"C0038013";"2275539";"Approved"
"DB00005";"2075670";"FALSE";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;0;0;0;0;"C0406317";"3272044";"Approved"
"DB00007";"299748";"TRUE";22;9;25;1;0;5;4;5;1;23;7;46;4;9;0;25;0;3;0;0;32;1;4;2;4;0;16;1;9;2;1;11;0;2;0;4;5;1;1;1;0;1;1;0;2;0;0;0;1;1;0;1;0;2;0;0;8;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;6;9;53;9;24;24;1;1;0;2;0;0;"C0034013";"459293";"Approved"
"DB00007";"299748";"TRUE";31;20;40;7;3;6;11;6;0;38;15;71;5;22;6;51;2;13;6;2;44;2;3;2;6;0;36;2;11;3;2;16;0;3;1;4;1;1;1;5;1;1;3;0;2;2;5;0;1;0;2;1;0;2;0;1;22;1;0;0;6;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85;27;18;102;22;31;40;1;1;0;2;0;0;"C0014175";"568271";"Approved"
"DB00008";"766118";"TRUE";47;9;34;1;2;1;0;4;4;7;6;27;0;12;1;13;1;4;1;0;0;4;3;2;13;0;15;0;1;2;1;0;0;0;1;1;0;0;0;1;0;2;0;1;4;12;12;0;2;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;2;3;38;12;27;16;0;0;0;1;0;0;"C0524910";"831657";"Approved"
"DB00008";"766118";"TRUE";28;6;14;1;2;0;0;2;0;9;2;27;0;10;1;12;1;6;1;0;0;3;3;2;8;0;14;0;1;2;2;0;0;0;1;1;0;0;0;1;0;1;0;0;3;18;13;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;3;1;39;10;21;15;0;0;0;1;0;0;"C0524909";"799943";"Approved"
"DB00009";"541762";"TRUE";243;104;235;25;15;12;87;22;13;217;118;281;15;80;23;298;24;167;19;9;42;11;13;2;26;4;100;7;31;12;6;21;0;8;1;23;15;29;1;13;11;2;23;8;72;9;58;10;5;15;14;5;0;15;2;8;33;7;4;1;20;10;5;4;17;9;15;1;3;11;2;4;6;2;3;0;0;0;7;1;1;1;1;1;0;2;1;0;2;0;7;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;504;156;93;573;84;119;160;5;11;7;15;1;0;"C0948008";"619799";"Approved"
"DB00009";"541762";"TRUE";158;79;154;13;5;8;31;12;9;158;73;205;11;29;10;218;19;118;10;7;28;9;11;2;26;5;88;5;20;9;3;12;0;5;1;18;18;23;1;9;6;2;11;3;59;8;43;5;4;7;10;4;0;7;2;4;14;5;1;0;10;9;1;4;16;3;9;1;0;10;2;2;4;1;0;0;0;0;8;2;1;0;1;1;0;1;0;0;1;0;2;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;331;62;51;411;30;92;139;5;8;3;7;0;0;"C0155626";"3695207";"Approved"
"DB00009";"541762";"TRUE";156;70;158;3;3;4;37;18;4;66;30;102;3;18;1;86;4;47;0;6;15;10;13;2;23;2;66;4;16;8;4;9;0;2;1;19;11;25;1;2;2;3;9;4;25;1;14;1;2;2;9;2;0;9;0;3;36;3;1;0;10;2;0;3;12;5;5;0;0;5;1;2;5;2;1;0;0;0;6;5;0;0;1;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;324;58;21;177;19;87;113;4;4;0;9;0;0;"C0034065";"1327484";"Approved"
"DB00010";"3787436";"TRUE";15;3;15;0;0;3;1;0;0;6;0;12;4;7;0;18;1;5;1;0;14;1;6;2;4;0;4;1;5;0;0;2;0;2;0;2;3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1;4;22;7;21;9;0;0;0;0;0;0;"C0013338";"2261117";"Approved"
"DB00013";"1521213";"TRUE";132;52;135;4;1;5;37;8;5;56;20;88;0;22;1;76;3;43;2;4;14;5;8;2;11;2;56;3;16;8;6;11;0;2;1;10;5;14;1;1;3;1;8;2;23;2;13;0;2;1;6;2;1;9;0;5;51;3;1;0;9;2;0;2;9;2;0;0;0;4;0;2;2;1;1;0;0;0;5;3;0;0;0;0;1;1;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279;61;18;149;23;60;80;3;3;1;9;0;0;"C0034065";"1327484";"Approved"
"DB00014";"19425";"TRUE";11;13;24;2;2;3;3;4;1;19;6;30;2;8;3;19;0;4;3;0;18;2;2;0;2;0;27;1;3;1;2;9;0;1;0;2;2;1;1;2;0;0;3;0;3;1;1;0;0;0;1;1;0;0;0;0;11;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;8;11;41;8;11;30;1;1;0;0;0;0;"C0014175";"568271";"Approved"
"DB00015";"642307";"TRUE";15;13;12;1;2;1;3;2;0;5;1;17;0;2;1;17;1;9;1;1;0;1;0;1;1;1;11;2;3;0;0;0;0;2;0;1;0;2;0;0;0;0;1;0;9;1;4;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;6;3;25;2;9;12;0;0;0;1;0;0;"C0155626";"3695207";"Approved"
"DB00016";"1518506";"FALSE";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;"C1561828";"4139862";"Approved"
"DB00017";"711847";"TRUE";50;15;46;6;2;7;20;8;1;58;20;66;3;9;1;57;3;25;7;6;33;3;2;2;3;0;20;2;14;1;2;9;0;2;1;4;3;1;0;3;0;0;9;0;5;1;5;1;0;1;5;0;0;2;1;2;6;2;0;0;8;2;1;0;5;0;4;1;1;7;1;0;1;0;0;0;0;0;2;2;1;0;0;1;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;36;21;120;9;29;28;0;2;2;2;0;0;"C0029458";"267197";"Approved"
"DB00017";"711847";"TRUE";17;9;25;3;0;1;6;6;1;21;5;31;2;3;0;30;0;11;3;2;14;2;2;2;3;0;5;0;1;0;0;4;0;0;1;2;0;1;0;1;0;0;4;0;1;0;1;1;0;0;1;0;0;2;1;1;4;2;0;0;3;1;0;0;1;0;0;0;0;3;2;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;13;8;52;3;11;8;0;0;1;2;0;0;"C0029401";"500828";"Approved"
"DB00022";"935989";"TRUE";47;5;35;2;1;0;3;4;3;3;4;24;0;7;1;12;0;3;1;0;1;2;4;2;5;0;15;0;2;2;1;1;0;1;1;2;1;0;0;1;0;1;0;0;3;10;12;0;1;1;1;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;6;2;30;8;22;18;0;0;0;0;0;0;"C0524910";"831657";"Approved"
"DB00023";"430036";"TRUE";34;16;36;14;4;3;9;2;0;43;20;67;3;24;12;55;1;25;0;0;5;1;8;2;4;2;35;1;10;1;0;7;0;3;0;0;4;1;0;5;2;1;3;4;14;9;19;1;3;0;3;0;0;3;1;1;40;1;2;0;5;0;1;0;5;0;1;1;0;1;0;3;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;31;21;112;26;33;40;0;1;2;3;0;0;"C0023449";"425171";"Approved"
"DB00026";"368402";"TRUE";214;56;177;32;6;10;31;19;10;107;54;139;13;70;15;198;7;95;23;6;24;6;8;2;15;3;32;3;20;6;6;13;1;6;1;6;6;5;1;11;8;3;11;3;37;6;78;2;4;4;8;2;2;1;2;5;22;2;3;1;14;5;1;3;13;1;3;1;6;2;2;3;2;2;1;0;0;1;6;2;0;0;1;1;2;0;0;0;0;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;373;89;58;332;73;72;46;5;4;4;1;0;0;"C0003873";"729887";"Approved"
"DB00026";"368402";"FALSE";10;1;8;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;6;0;0;0;0;0;0;0;0;"C2316212";"2275723";"Approved"
"DB00026";"368402";"TRUE";13;6;15;0;0;0;0;0;1;0;0;0;0;4;0;4;0;0;0;0;0;1;5;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;4;4;6;3;0;0;0;0;0;0;"C0409818";"535430";"Approved"
"DB00027";"567500";"FALSE";0;1;1;0;0;0;0;0;0;3;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;2;1;0;0;0;0;0;0;"C0009768";"278808";"Approved"
"DB00027";"567500";"FALSE";0;0;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;0;0;0;0;0;"C0854211";"4073229";"Approved"
"DB00030";"1053962";"TRUE";30;17;35;14;7;4;14;3;1;58;12;76;6;24;8;107;10;64;7;3;36;2;5;2;12;0;20;2;16;4;3;2;0;4;1;5;15;2;0;8;5;0;2;0;11;7;17;4;2;3;1;2;2;5;1;1;4;0;1;0;8;1;1;1;5;0;1;0;2;9;0;2;4;0;3;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;45;28;173;25;54;41;1;4;3;5;0;0;"C0011854";"766164";"Approved"
"DB00030";"1053962";"TRUE";28;17;37;19;7;4;11;2;1;64;17;77;6;29;7;107;10;67;7;5;32;3;5;2;12;0;19;2;17;4;3;2;0;4;1;5;13;2;0;11;7;0;2;1;17;9;13;3;3;4;2;2;1;5;0;1;7;0;1;0;9;1;1;1;5;0;1;0;1;9;0;1;3;1;0;2;0;0;1;0;1;0;1;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;47;32;182;30;53;40;1;4;2;5;0;0;"C0011860";"192835";"Approved"
"DB00030";"1053962";"TRUE";32;17;40;10;5;4;11;3;1;60;16;67;6;31;7;84;10;48;8;4;27;3;5;2;12;0;18;2;21;4;4;2;0;4;1;5;13;2;0;8;5;0;3;1;11;4;13;3;3;4;1;2;0;4;0;1;7;0;1;0;9;0;1;1;5;0;1;1;1;9;0;2;4;0;2;0;0;0;1;0;1;0;1;0;0;1;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;38;29;148;32;59;37;1;5;1;4;0;0;"C0011849";"113038";"Approved"
"DB00031";"2278785";"TRUE";18;11;19;0;0;0;3;2;0;4;1;18;0;1;0;18;0;7;1;0;0;1;0;1;4;1;10;0;3;0;1;0;0;1;0;2;1;0;1;0;0;0;0;0;9;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;4;0;23;1;9;13;1;1;0;1;0;0;"C0155626";"3695207";"Approved"
"DB00035";"2672446";"TRUE";27;18;26;2;1;3;1;5;1;13;1;30;1;3;0;24;1;8;0;1;7;2;8;2;9;0;19;2;7;3;0;3;0;1;1;5;1;3;1;1;1;0;1;0;6;0;4;0;0;0;2;0;0;1;0;2;2;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;4;6;39;3;40;26;1;1;0;1;0;0;"C0019069";"1260601";"Approved"
